引翔港小区    ,206,1, 34.21
幸福村小区    ,170,1, 38.49
三门路358弄    ,290,2, 61.71
浣纱四村    ,530,3, 99.6
殷行路310弄    ,260,2, 57.4
国和一村    ,220,1, 44.34
控江路1525弄    ,245,1, 37.7
圣骊河滨苑    ,725,2, 85.84
浦罡小区    ,200,1, 31.61
控江六村    ,298,1, 30.37
延吉四村    ,235,1, 35.79
控江东三村    ,207,1, 41.02
凤城二村    ,138,1, 30.05
控江七村    ,175,1, 29.27
双阳路50弄    ,265,1, 46.62
国和二村    ,282,2, 59.3
公园3000黄兴花园    ,470,1, 49
三门路358弄    ,202,1, 44
世和园    ,375,1, 53.88
东森花园    ,1030,3, 134.29
市光四村    ,158,1, 37.34
加州水郡    ,995,2, 120.08
鞍山四村第三小区    ,178,1, 31
延吉七村    ,295,2, 47.96
辽源一村    ,310,2, 53.49
延吉东路125弄    ,290,2, 51.81
市光三村    ,180,1, 36.62
凤城三村    ,185,1, 43.06
沧州路180弄    ,320,1, 39.28
中环和润苑    ,435,2, 68.4
双辽路155弄    ,470,3, 76.7
复旦第二宿舍    ,460,3, 66.21
申泉小区    ,246,1, 36.91
明月坊    ,435,2, 64.34
建德国际公寓    ,840,3, 96.17
鞍山四村第三小区    ,198,1, 33
文化花园香榭丽苑    ,700,2, 106.95
海杨公寓    ,595,3, 89.21
崇业小区    ,498,2, 85.7
秦家弄小区    ,270,1, 36.2
兰馨雅苑    ,730,2, 88.71
金宇名邸    ,840,3, 114.2
城市丽园    ,1580,6, 205.53
福宁路27弄    ,228,1, 33.98
绿地海珀璞晖    ,978,3, 98.62
松花江路95弄    ,525,3, 94.21
大运盛城    ,565,1, 81.9
和平花苑    ,645,2, 90.25
耀浦苑    ,1260,3, 212.76
浣纱五村    ,510,2, 92.31
绿地海珀璞晖    ,830,2, 88.28
华升新苑    ,820,2, 102.04
君欣豪庭    ,1260,3, 140.46
水电新村    ,251,2, 57.62
三峰大厦    ,600,3, 112.7
浣沙三村    ,478,3, 80.62
万佳苑    ,415,2, 64.89
靖宇南路5弄    ,322,1, 34.13
延吉东路125弄    ,280,2, 51.81
双辽新村    ,192,1, 27.72
合生江湾国际公寓    ,830,2, 104.93
望春都市家园    ,710,2, 86.76
银浦大楼    ,460,2, 70.49
翡丽甲第    ,2650,4, 243
华谊星城名苑    ,1060,3, 129.45
双辽支路70弄    ,190,1, 36.16
凤城三村    ,150,1, 29.87
延吉东路137弄    ,235,1, 39.56
建发璟墅    ,2370,4, 344.43
阳明新城    ,485,2, 74.93
浣纱五村    ,510,2, 89.05
九龙仓玺园    ,1450,3, 173.99
凤城三村    ,230,1, 40.77
民星路408弄    ,324,2, 60.27
秦家弄小区    ,330,1, 46.29
明阳公寓    ,418,2, 65.81
涵碧景苑    ,1380,7, 235.67
恒阳花苑    ,578,2, 85.27
长眉小区    ,174,1, 30.53
辽源公寓    ,235,1, 38.54
联升大厦    ,645,2, 92.21
仁恒怡庭    ,1168,3, 140.39
明昌公寓    ,300,1, 49.51
开鲁三村    ,270,2, 58.65
荣丰花园    ,318,1, 52.38
辽源公寓    ,320,2, 51.53
上海大花园    ,1020,3, 146.35
馨怡花园    ,1200,3, 144.57
铁路新村(杨浦)    ,320,2, 53.16
中原路99弄    ,225,1, 40.11
控江二村    ,318,1, 45.42
华升新苑    ,800,2, 116.22
双辽支路70弄    ,215,1, 42.4
许昌路1491弄    ,240,1, 37.63
凤城二村    ,200,1, 36.45
长阳新苑    ,780,2, 104.89
控江路1455弄    ,620,2, 114.75
黄兴路1019弄    ,220,1, 37.5
延吉五村    ,205,1, 35.72
凤城路104弄    ,290,2, 49.65
松花一村    ,190,1, 39.98
飞帆大楼    ,305,1, 59
控江路1455弄    ,600,4, 107.41
仁恒怡庭    ,1680,5, 247.07
控江二村    ,299,1, 35.31
控江路1525弄    ,228,1, 37.7
合生高尔夫公寓    ,840,2, 93.35
文化名园    ,430,2, 60.67
延吉七村    ,265,2, 49
嘉誉湾    ,1900,4, 201.97
